City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Houma,US,29.5958,-90.7195,46.99,87,1,13.71,clear sky
221,Zhigansk,RU,66.7697,123.3711,4.73,96,100,4.14,light snow
222,Evensk,RU,61.95,159.2333,16.57,93,100,5.66,overcast clouds
223,Iraquara,BR,-12.2486,-41.6194,73.11,84,100,2.66,overcast clouds
224,Saint George,US,37.1041,-113.5841,52.95,36,4,4.0,clear sky
225,Saint-Augustin,CA,51.226,-58.6502,26.62,60,100,21.52,overcast clouds
226,Khorramshahr,IR,30.4397,48.1664,66.16,88,0,2.3,clear sky
227,Chapais,CA,49.7834,-74.8492,29.98,96,100,5.03,light snow
228,Lasa,IT,46.6166,10.7002,48.33,47,70,1.03,broken clouds
229,Arraial Do Cabo,BR,-22.9661,-42.0278,73.08,90,17,11.65,few clouds
230,Northam,GB,51.0333,-4.2167,58.39,94,0,11.61,clear sky
231,Bima,ID,-8.4667,118.7167,89.49,63,100,1.25,overcast clouds
232,Lerwick,GB,60.1545,-1.1494,51.8,91,98,16.24,overcast clouds
233,Jinxiang,CN,27.4327,120.6062,70.43,87,61,12.33,broken clouds
234,Ambilobe,MG,-13.2,49.05,70.29,87,0,3.53,clear sky
235,Upata,VE,8.0086,-62.3989,71.04,96,100,2.57,overcast clouds
236,Meulaboh,ID,4.1363,96.1285,75.42,92,100,2.1,overcast clouds
237,Toora-Khem,RU,52.4675,96.11,12.96,88,100,3.33,overcast clouds
238,Titay,PH,7.8125,122.5344,84.33,71,95,2.8,overcast clouds
239,Sakaiminato,JP,35.55,133.2333,71.53,83,75,6.91,broken clouds
240,Kutum,SD,14.2,24.6667,60.89,30,0,5.86,clear sky
241,Hasaki,JP,35.7333,140.8333,76.21,67,6,25.41,clear sky
242,Port Macquarie,AU,-31.4333,152.9167,80.89,62,100,14.76,overcast clouds
243,Torres,BR,-29.3353,-49.7269,73.83,93,100,8.03,overcast clouds
244,Mangrol,IN,21.1167,70.1167,75.58,45,0,11.03,clear sky
245,Solnechnyy,RU,50.7214,136.6319,25.84,54,0,3.69,clear sky
246,Hurricane,US,37.1753,-113.2899,51.03,33,3,5.97,clear sky
247,Lac Du Bonnet,CA,50.2536,-96.0612,7.93,96,95,1.83,overcast clouds
248,Santa Fe,AR,-31.6333,-60.7,69.01,90,99,1.01,light rain
249,Zalantun,CN,48.0,122.7167,27.63,50,22,3.29,few clouds
250,Hobyo,SO,5.3505,48.5268,81.19,66,82,15.03,broken clouds
251,Rena,NO,61.1348,11.3641,38.12,92,86,2.82,overcast clouds
252,Mana,GF,5.6592,-53.7767,77.5,88,100,7.31,overcast clouds
253,Ocampo,MX,21.65,-101.5,56.52,38,0,1.36,clear sky
254,Luanda,AO,-8.8368,13.2343,73.4,78,20,3.44,few clouds
